                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6453,                 1.8763,                 1.2142,                0.56424,                0.41697,                 0.4543,                0.28248,                  1.633,                 1.6316,                 1.2778,             0.00017503,             0.00017503,             0.00017503
                      2,                 1.4959,                 1.2883,                 1.1446,                0.65727,                0.49493,                  0.528,                 0.3142,                 1.6077,                 1.5734,                 1.2815,             0.00034343,             0.00034343,             0.00034343
                      3,                 1.4899,                 1.2192,                 1.1376,                0.59485,                0.48923,                 0.5035,                0.30902,                 1.5741,                 1.5701,                 1.2348,             0.00050488,             0.00050488,             0.00050488
                      4,                  1.444,                 1.1696,                 1.1373,                 0.6465,                 0.5311,                0.55662,                0.33531,                  1.528,                 1.4382,                 1.2123,             0.00049476,             0.00049476,             0.00049476
                      5,                 1.4182,                 1.1095,                 1.1216,                0.62763,                0.55837,                0.57172,                0.35381,                 1.4657,                 1.2802,                 1.1889,             0.00048434,             0.00048434,             0.00048434
                      6,                  1.381,                 1.0453,                 1.0963,                0.70528,                0.57482,                0.61442,                0.38274,                 1.4385,                 1.2172,                 1.1672,             0.00047393,             0.00047393,             0.00047393
                      7,                 1.3639,                  1.009,                 1.0828,                 0.6784,                 0.5563,                0.57912,                 0.3632,                 1.4489,                 1.1785,                 1.1822,             0.00046351,             0.00046351,             0.00046351
                      8,                 1.3207,                0.95867,                 1.0714,                0.64954,                0.59104,                0.62135,                 0.3916,                 1.4232,                 1.1648,                 1.1503,              0.0004531,              0.0004531,              0.0004531
                      9,                 1.2957,                0.92974,                  1.059,                 0.6753,                0.59122,                0.62596,                0.39727,                 1.3996,                 1.1359,                 1.1414,             0.00044268,             0.00044268,             0.00044268
                     10,                 1.2804,                 0.9088,                 1.0494,                0.71496,                0.63457,                0.66276,                0.42686,                 1.3817,                 1.1456,                   1.13,             0.00043227,             0.00043227,             0.00043227
                     11,                 1.2618,                0.88849,                 1.0442,                0.74115,                0.63529,                0.68527,                0.44342,                 1.3667,                 1.0511,                 1.1318,             0.00042185,             0.00042185,             0.00042185
                     12,                 1.2518,                 0.8576,                 1.0387,                0.72826,                0.65474,                0.69168,                0.44517,                 1.3518,                 1.0654,                 1.1214,             0.00041144,             0.00041144,             0.00041144
                     13,                 1.2432,                 0.8481,                 1.0364,                0.75759,                0.64565,                0.69052,                0.44208,                 1.3684,                 1.0445,                 1.1232,             0.00040102,             0.00040102,             0.00040102
                     14,                 1.2222,                0.83316,                 1.0239,                 0.7248,                0.68317,                0.70898,                0.46171,                 1.3188,                 1.0011,                 1.1048,             0.00039061,             0.00039061,             0.00039061
                     15,                  1.216,                0.82568,                  1.022,                0.76923,                0.67419,                0.71747,                0.46623,                 1.3086,                 1.0275,                 1.0899,             0.00038019,             0.00038019,             0.00038019
                     16,                 1.2123,                0.82481,                 1.0241,                0.77942,                0.67648,                 0.7209,                0.46861,                 1.2995,                 0.9475,                 1.0933,             0.00036978,             0.00036978,             0.00036978
                     17,                 1.2021,                0.80262,                 1.0154,                0.73306,                0.67867,                0.70282,                0.46021,                 1.3002,                0.97094,                 1.0892,             0.00035936,             0.00035936,             0.00035936
                     18,                 1.1799,                0.78584,                 1.0089,                0.75761,                0.70782,                0.73476,                0.48275,                 1.2961,                 0.9394,                 1.0843,             0.00034895,             0.00034895,             0.00034895
                     19,                 1.1765,                0.77687,                 1.0061,                0.73819,                0.70117,                0.73308,                0.48721,                 1.2756,                0.92561,                 1.0776,             0.00033853,             0.00033853,             0.00033853
                     20,                 1.1636,                0.76654,                 1.0044,                0.77766,                0.70612,                0.74007,                0.49655,                 1.2605,                 0.8957,                 1.0735,             0.00032812,             0.00032812,             0.00032812
                     21,                 1.1587,                0.75766,                0.99874,                0.78245,                0.70016,                0.74641,                0.49698,                 1.2697,                0.90631,                  1.075,              0.0003177,              0.0003177,              0.0003177
                     22,                 1.1513,                0.75297,                0.99129,                0.77401,                 0.7104,                0.74655,                0.50275,                 1.2601,                0.88089,                 1.0671,             0.00030729,             0.00030729,             0.00030729
                     23,                 1.1482,                0.74198,                0.99302,                0.78679,                0.71138,                0.75201,                0.50101,                 1.2606,                0.88572,                 1.0658,             0.00029687,             0.00029687,             0.00029687
                     24,                 1.1302,                0.72671,                0.99117,                 0.7724,                0.71696,                0.75581,                0.50972,                  1.254,                0.86194,                 1.0691,             0.00028646,             0.00028646,             0.00028646
                     25,                 1.1227,                 0.7086,                0.97947,                0.78089,                0.72787,                0.76142,                0.51138,                 1.2473,                 0.8923,                 1.0607,             0.00027604,             0.00027604,             0.00027604
                     26,                 1.1102,                0.70706,                0.98171,                0.79479,                0.73159,                0.77643,                0.52138,                 1.2368,                0.87712,                 1.0586,             0.00026563,             0.00026563,             0.00026563
                     27,                 1.1099,                 0.7042,                0.98064,                0.78482,                0.74387,                0.77463,                0.52001,                 1.2175,                0.84933,                 1.0509,             0.00025522,             0.00025522,             0.00025522
                     28,                 1.1132,                0.69867,                0.97644,                0.81342,                0.73293,                0.78955,                0.53369,                 1.2195,                0.81795,                 1.0504,              0.0002448,              0.0002448,              0.0002448
