                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9676,                 3.1076,                 1.3075,                0.66862,                0.25572,                0.23952,                0.13604,                 1.9057,                 2.8175,                 1.3461,             0.00017503,             0.00017503,             0.00017503
                      2,                 1.7364,                 1.9567,                 1.1979,                0.62867,                0.34042,                0.36914,                0.21632,                  1.764,                 2.2831,                  1.264,             0.00034343,             0.00034343,             0.00034343
                      3,                 1.7115,                  1.742,                 1.1818,                0.65489,                0.39772,                0.42767,                0.25064,                 1.7191,                 2.0025,                 1.2364,             0.00050488,             0.00050488,             0.00050488
                      4,                 1.6435,                 1.6146,                 1.1671,                0.57449,                0.43419,                 0.4444,                0.25348,                 1.7286,                 1.8583,                 1.2368,             0.00049476,             0.00049476,             0.00049476
                      5,                 1.6068,                 1.5051,                 1.1508,                 0.5507,                0.46399,                0.46858,                0.28478,                  1.622,                 1.6558,                 1.1947,             0.00048434,             0.00048434,             0.00048434
                      6,                 1.5737,                 1.4145,                 1.1293,                0.58747,                0.48888,                0.50837,                0.31149,                 1.6107,                 1.5942,                 1.1873,             0.00047393,             0.00047393,             0.00047393
                      7,                 1.5702,                 1.3627,                 1.1207,                0.62755,                0.49045,                0.51137,                0.31172,                 1.6007,                 1.5894,                 1.1724,             0.00046351,             0.00046351,             0.00046351
                      8,                 1.5144,                 1.2921,                 1.1072,                0.65101,                0.50441,                0.53798,                0.32957,                 1.5794,                  1.557,                 1.1654,              0.0004531,              0.0004531,              0.0004531
                      9,                 1.5031,                  1.267,                 1.1002,                0.66348,                0.52062,                 0.5605,                0.34236,                 1.5596,                 1.4356,                 1.1575,             0.00044268,             0.00044268,             0.00044268
                     10,                 1.4908,                  1.217,                 1.0921,                0.64637,                0.55626,                0.57016,                0.35148,                 1.5306,                 1.4327,                 1.1447,             0.00043227,             0.00043227,             0.00043227
                     11,                 1.4652,                 1.1795,                 1.0838,                0.66589,                0.56482,                0.58647,                 0.3542,                 1.5355,                 1.4492,                  1.149,             0.00042185,             0.00042185,             0.00042185
                     12,                 1.4661,                 1.1592,                 1.0824,                0.66372,                0.56392,                0.59029,                0.36145,                   1.53,                 1.3933,                 1.1369,             0.00041144,             0.00041144,             0.00041144
                     13,                  1.454,                 1.1409,                 1.0787,                0.72125,                 0.5753,                0.61935,                0.38351,                 1.4939,                 1.3693,                  1.122,             0.00040102,             0.00040102,             0.00040102
                     14,                 1.4396,                 1.1243,                 1.0709,                0.66361,                0.56805,                0.60355,                0.37685,                 1.4924,                 1.3509,                 1.1212,             0.00039061,             0.00039061,             0.00039061
                     15,                 1.4389,                 1.1177,                  1.071,                0.72353,                0.58962,                0.62415,                0.39885,                 1.4663,                 1.3012,                 1.1139,             0.00038019,             0.00038019,             0.00038019
                     16,                 1.4176,                 1.1075,                 1.0652,                0.68543,                0.60455,                0.62792,                0.39332,                 1.4662,                 1.2925,                 1.1075,             0.00036978,             0.00036978,             0.00036978
                     17,                 1.4217,                 1.0829,                 1.0639,                0.68838,                0.61932,                0.63216,                0.40085,                 1.4538,                 1.2616,                  1.095,             0.00035936,             0.00035936,             0.00035936
                     18,                 1.3953,                 1.0594,                 1.0549,                0.72695,                  0.601,                0.64183,                0.40682,                 1.4427,                 1.2723,                 1.0911,             0.00034895,             0.00034895,             0.00034895
                     19,                 1.3993,                 1.0532,                  1.056,                0.75239,                0.61328,                0.65264,                0.41131,                  1.444,                 1.2462,                 1.0912,             0.00033853,             0.00033853,             0.00033853
                     20,                  1.378,                 1.0327,                 1.0476,                0.71578,                0.61514,                0.64713,                0.41462,                 1.4299,                 1.2169,                  1.089,             0.00032812,             0.00032812,             0.00032812
                     21,                 1.3782,                 1.0255,                 1.0452,                0.70819,                0.62763,                0.65154,                0.41875,                 1.4332,                 1.2113,                 1.0975,              0.0003177,              0.0003177,              0.0003177
                     22,                 1.3757,                 1.0168,                 1.0404,                0.73605,                0.61723,                0.66617,                0.42474,                 1.4235,                 1.1771,                 1.0857,             0.00030729,             0.00030729,             0.00030729
                     23,                  1.372,                 1.0088,                 1.0405,                0.75768,                0.62677,                 0.6759,                0.43153,                 1.4119,                 1.1759,                 1.0756,             0.00029687,             0.00029687,             0.00029687
                     24,                 1.3567,                 1.0041,                  1.041,                0.73211,                0.63541,                0.67903,                0.43466,                 1.4161,                 1.1598,                 1.0844,             0.00028646,             0.00028646,             0.00028646
                     25,                 1.3584,                0.97404,                 1.0305,                0.74309,                0.63939,                0.67283,                0.43708,                 1.3994,                 1.1766,                 1.0715,             0.00027604,             0.00027604,             0.00027604
                     26,                 1.3428,                0.98196,                 1.0327,                0.75252,                0.64955,                0.68804,                0.44675,                 1.3945,                 1.1473,                 1.0721,             0.00026563,             0.00026563,             0.00026563
                     27,                 1.3389,                0.97495,                 1.0319,                0.75371,                0.63803,                0.68428,                0.44147,                 1.4097,                 1.1636,                 1.0772,             0.00025522,             0.00025522,             0.00025522
                     28,                 1.3467,                0.96854,                 1.0292,                0.74839,                 0.6517,                0.69642,                0.44995,                 1.3946,                 1.1302,                 1.0737,              0.0002448,              0.0002448,              0.0002448
                     29,                 1.3384,                0.95979,                 1.0299,                0.75034,                0.66654,                 0.6971,                0.44958,                 1.3893,                 1.1086,                 1.0703,             0.00023439,             0.00023439,             0.00023439
                     30,                 1.3318,                0.95438,                 1.0255,                 0.7594,                0.64948,                0.68738,                0.44852,                 1.3838,                 1.1122,                 1.0659,             0.00022397,             0.00022397,             0.00022397
                     31,                 1.3229,                0.93654,                 1.0203,                0.76419,                0.65579,                0.70046,                0.45785,                  1.381,                 1.0897,                 1.0622,             0.00021356,             0.00021356,             0.00021356
                     32,                 1.3115,                0.92319,                  1.017,                0.77553,                 0.6517,                0.69789,                0.45227,                 1.3761,                 1.0844,                 1.0612,             0.00020314,             0.00020314,             0.00020314
                     33,                 1.3089,                0.91986,                 1.0156,                0.77489,                0.65943,                 0.7126,                0.46218,                 1.3742,                 1.0923,                 1.0576,             0.00019273,             0.00019273,             0.00019273
                     34,                 1.3171,                 0.9312,                 1.0185,                0.76196,                0.66938,                0.70959,                0.46194,                 1.3656,                 1.1104,                 1.0612,             0.00018231,             0.00018231,             0.00018231
                     35,                 1.3159,                0.92997,                 1.0168,                0.76619,                0.65874,                0.70642,                0.46575,                 1.3597,                 1.0687,                 1.0549,              0.0001719,              0.0001719,              0.0001719
                     36,                 1.2902,                0.91281,                 1.0128,                 0.7739,                0.66457,                0.71297,                0.46808,                 1.3567,                 1.0615,                 1.0519,             0.00016148,             0.00016148,             0.00016148
                     37,                 1.2976,                0.90311,                 1.0101,                 0.7592,                0.67772,                0.71943,                0.47169,                 1.3524,                  1.052,                 1.0494,             0.00015107,             0.00015107,             0.00015107
                     38,                 1.2873,                0.90035,                 1.0067,                0.77867,                0.66728,                0.71315,                0.47081,                 1.3542,                 1.0616,                 1.0504,             0.00014065,             0.00014065,             0.00014065
                     39,                 1.2968,                0.90418,                 1.0088,                 0.7761,                0.66505,                0.71903,                0.47218,                   1.35,                 1.0532,                 1.0496,             0.00013024,             0.00013024,             0.00013024
                     40,                 1.2805,                0.89096,                 1.0054,                0.78902,                0.66821,                0.72454,                0.47924,                 1.3446,                 1.0326,                 1.0477,             0.00011982,             0.00011982,             0.00011982
                     41,                 1.2439,                0.88008,                 1.0034,                0.75975,                0.67674,                0.72163,                0.47255,                 1.3506,                 1.0442,                 1.0498,             0.00010941,             0.00010941,             0.00010941
                     42,                 1.2316,                0.85678,                 1.0004,                0.77266,                0.67045,                0.71656,                0.47274,                 1.3376,                 1.0404,                 1.0464,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                 1.2311,                0.85692,                 1.0037,                 0.7828,                0.68053,                0.72621,                0.48052,                 1.3326,                 1.0307,                 1.0449,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                 1.2308,                0.84315,                0.99959,                0.79102,                0.67278,                0.72574,                0.48097,                 1.3364,                   1.03,                  1.043,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     45,                 1.2296,                0.84404,                 1.0019,                0.76954,                 0.6845,                0.72724,                 0.4856,                 1.3309,                 1.0162,                 1.0455,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     46,                 1.2138,                0.84196,                0.99864,                0.79917,                0.66746,                0.72861,                0.48481,                 1.3265,                 1.0156,                  1.043,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     47,                 1.2083,                 0.8312,                  0.992,                0.79412,                0.67011,                0.73132,                0.48997,                 1.3271,                 1.0103,                 1.0418,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     48,                 1.2048,                0.82469,                0.99438,                0.77094,                0.69171,                 0.7315,                 0.4908,                 1.3261,                 1.0088,                 1.0401,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     49,                  1.198,                0.82701,                0.99038,                0.77603,                0.68921,                0.73175,                0.49397,                 1.3175,                 1.0052,                 1.0364,              2.609e-05,              2.609e-05,              2.609e-05
                     50,                 1.2083,                 0.8173,                0.99163,                0.78842,                 0.6759,                0.73218,                0.49329,                 1.3181,                 1.0012,                 1.0369,             1.5675e-05,             1.5675e-05,             1.5675e-05
